USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
MN,27063,00659477,Jackson County,1820689802,42120047,702.972,16.263,43.671111,-95.149731
MN,27065,00659478,Kanabec County,1350910808,31322739,521.590,12.094,45.947760,-93.297788
MN,27067,00659479,Kandiyohi County,2064978239,168506888,797.293,65.061,45.152714,-95.004981
MN,27069,00659480,Kittson County,2845894847,12411746,1098.806,4.792,48.776040,-96.780349
MN,27071,00659481,Koochiching County,8039819285,129002453,3104.192,49.808,48.245489,-93.782842
MN,27073,00659482,Lac qui Parle County,1981394519,33643131,765.021,12.990,44.999857,-96.176838
MN,27075,00659484,Lake County,5463008494,2282651729,2109.279,881.337,47.517111,-91.411704
MN,27077,00659483,Lake of the Woods County,3361462398,1234896316,1297.868,476.796,48.768100,-94.904633
MN,27079,00659485,Le Sueur County,1162318477,64897214,448.774,25.057,44.373424,-93.730143
MN,27081,00659486,Lincoln County,1390177657,30255244,536.751,11.682,44.408238,-96.272032
MN,27083,00659487,Lyon County,1850712587,18397339,714.564,7.103,44.409195,-95.847268
MN,27085,00659491,McLeod County,1272931184,36379308,491.481,14.046,44.821657,-94.272323
MN,27087,00659488,Mahnomen County,1444886579,64851262,557.874,25.039,47.328387,-95.811089
MN,27089,00659489,Marshall County,4597384439,98019675,1775.060,37.846,48.362728,-96.357761
MN,27091,00659490,Martin County,1844947506,44649915,712.338,17.239,43.677118,-94.537252
MN,27093,00659492,Meeker County,1575108881,94852126,608.153,36.623,45.123155,-94.527346
MN,27095,00659493,Mille Lacs County,1482347345,283000300,572.338,109.267,45.929043,-93.632996
MN,27097,00659494,Morrison County,2913947109,73293225,1125.081,28.299,46.020484,-94.266619
MN,27099,00659495,Mower County,1842332256,617229,711.328,0.238,43.666249,-92.759514
MN,27101,00659496,Murray County,1825163785,38338284,704.700,14.802,44.015594,-95.761581
MN,27103,00659497,Nicollet County,1161920930,47467519,448.620,18.327,44.358819,-94.245685
MN,27105,00659498,Nobles County,1852113586,19287319,715.105,7.447,43.677686,-95.763132
MN,27107,00659499,Norman County,2260512388,10208057,872.789,3.941,47.329470,-96.463807
MN,27109,00659500,Olmsted County,1693067589,3019334,653.697,1.166,44.003429,-92.406722
MN,27111,00659501,Otter Tail County,5107557096,653980190,1972.039,252.503,46.405725,-95.714578
