GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG 
01005,114637908,666424,44.262,0.257,42.418848,-72.106598 
01007,136236049,6944239,52.601,2.681,42.279010,-72.400468 
01008,139346414,5108939,53.802,1.973,42.190191,-72.954263 
01009,2104271,0,0.812,0.000,42.209669,-72.339743 
01010,90060192,1415647,34.772,0.547,42.128176,-72.205352 
01011,81830551,342669,31.595,0.132,42.300281,-72.968716 
01012,33971460,543537,13.116,0.210,42.375425,-72.858192 
01013,14567306,1731911,5.624,0.669,42.154904,-72.602804 
01020,32307392,1170576,12.474,0.452,42.172602,-72.562073 
01022,12332152,2118,4.761,0.001,42.197741,-72.542713 
01026,62173902,332330,24.005,0.128,42.465495,-72.918267 
01027,104893841,1205216,40.500,0.465,42.295008,-72.751877 
01028,33504925,181924,12.936,0.070,42.062378,-72.498111 
01029,41050306,5314948,15.850,2.052,42.193395,-73.044647 
01030,30716069,445494,11.860,0.172,42.072925,-72.686972 
01031,21012723,0,8.113,0.000,42.329380,-72.198156 
01032,30467674,887485,11.764,0.343,42.457613,-72.814780 
01033,72039174,666977,27.814,0.258,42.244949,-72.500143 
01034,185541250,5090992,71.638,1.966,42.093912,-72.961103 
01035,59784992,3940203,23.083,1.521,42.356491,-72.568632 
01036,50452198,89778,19.480,0.035,42.071188,-72.417718 
01037,36534058,3961965,14.106,1.530,42.372728,-72.195412 
01038,25871792,2247127,9.989,0.868,42.385496,-72.606929 
01039,34227578,599161,13.215,0.231,42.404287,-72.688924 
01040,55069485,4074018,21.262,1.573,42.211656,-72.642448 
01050,99264985,2581165,38.326,0.997,42.286762,-72.869695 
01053,13289899,251887,5.131,0.097,42.356301,-72.713584 
01054,59027067,425597,22.790,0.164,42.468898,-72.484579 
01056,70461231,2938128,27.205,1.134,42.183577,-72.457812 
01057,116445834,1476587,44.960,0.570,42.093596,-72.321494 
01060,28279225,3264281,10.919,1.260,42.321488,-72.630588 
01062,47016503,396837,18.153,0.153,42.328308,-72.703924 
01063,100502,0,0.039,0.000,42.318882,-72.638530 
01066,1842125,117510,0.711,0.045,42.406909,-72.655015 
01068,53925827,1033076,20.821,0.399,42.350862,-72.044248 
